ticker,date,phase,expiration,dte,optionType,strike,occ,signalTime,entryTime,signalPrice,entryPrice,marketIv,forecastVol,fairIv,volEdge,fairValue,priceEdge,edgePercent,estimatedCost,entryStatus,actionable,closeHit,closeHitTime,netPnl,netContractDollars,netReturnPercent,highHit,highHitTime,optimisticNetPnl,finalObservedTime,finalObservedPrice,modelUsed
SPY,2026-05-14,calibration,2026-05-15,1,put,734,SPY   260515P00734000,2026-05-14T14:00:00.000Z,2026-05-14T15:00:00.000Z,0.27,0.27,18.2937,11.3247,20.9594,2.6657,0.456107,0.186107,68.928,0.05,entered,true,false,,-0.3,-30,-111.111,true,2026-05-15T14:00:00.000Z,0.136107,2026-05-15T19:00:00.000Z,0.02,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-05-14,calibration,2026-05-15,1,put,736,SPY   260515P00736000,2026-05-14T14:00:00.000Z,2026-05-14T15:00:00.000Z,0.35,0.34,16.8984,11.3247,19.4489,2.5505,0.569072,0.219072,62.592,0.05,entered,true,false,,-0.37,-37,-108.824,true,2026-05-15T15:00:00.000Z,0.179072,2026-05-15T19:00:00.000Z,0.02,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-05-14,calibration,2026-05-15,1,put,740,SPY   260515P00740000,2026-05-14T14:00:00.000Z,2026-05-14T15:00:00.000Z,0.64,0.64,14.0801,11.3247,16.8323,2.7522,0.993699,0.353699,55.265,0.064,entered,true,true,2026-05-15T14:00:00.000Z,0.289699,28.97,45.265,true,2026-05-15T14:00:00.000Z,0.289699,2026-05-15T19:00:00.000Z,0.9,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-05-14,calibration,2026-05-15,1,put,742,SPY   260515P00742000,2026-05-14T14:00:00.000Z,2026-05-14T15:00:00.000Z,0.91,0.9,12.6658,11.3247,14.8451,2.1793,1.240074,0.330074,36.272,0.09,entered,true,true,2026-05-15T14:00:00.000Z,0.250074,25.01,27.786,true,2026-05-15T14:00:00.000Z,0.250074,2026-05-15T19:00:00.000Z,2.96,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-05-14,calibration,2026-05-15,1,put,748,SPY   260515P00748000,2026-05-14T14:00:00.000Z,2026-05-14T15:00:00.000Z,2.75,2.73,5.3334,11.3247,10.0917,4.7584,3.369825,0.619825,22.539,0.273,entered,true,true,2026-05-15T14:00:00.000Z,0.366825,36.68,13.437,true,2026-05-15T14:00:00.000Z,0.366825,2026-05-15T19:00:00.000Z,8.99,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-05-14,calibration,2026-05-15,1,put,744,SPY   260515P00744000,2026-05-14T14:00:00.000Z,2026-05-14T15:00:00.000Z,1.31,1.31,11.0724,11.3247,12.6864,1.6141,1.592335,0.282335,21.552,0.131,entered,true,true,2026-05-15T14:00:00.000Z,0.151335,15.13,11.552,true,2026-05-15T14:00:00.000Z,0.151335,2026-05-15T19:00:00.000Z,4.25,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-06-10,calibration,2026-06-12,2,call,734,SPY   260612C00734000,2026-06-10T14:00:00.000Z,2026-06-10T15:00:00.000Z,5.16,5.19,11.6114,12.3746,17.5152,5.9038,6.370718,1.210718,23.464,0.519,entered,true,true,2026-06-12T14:00:00.000Z,0.661718,66.17,12.75,true,2026-06-11T19:00:00.000Z,0.661718,2026-06-12T19:00:00.000Z,6.98,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-06-16,calibration,2026-06-18,2,call,762,SPY   260618C00762000,2026-06-16T14:00:00.000Z,2026-06-16T15:00:00.000Z,0.48,0.48,12.9704,13.9838,14.0633,1.0929,0.619599,0.139599,29.083,0.05,entered,true,false,,-0.52,-52,-108.333,false,,-0.52,2026-06-18T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-06-22,calibration,2026-06-26,4,call,754,SPY   260626C00754000,2026-06-22T14:00:00.000Z,2026-06-22T15:00:00.000Z,1.34,1.34,10.4323,13.8613,14.7484,4.3161,2.562438,1.222438,91.227,0.134,entered,true,false,,-1.464,-146.4,-109.254,false,,-1.464,2026-06-26T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-06-22,calibration,2026-06-26,4,call,752,SPY   260626C00752000,2026-06-22T14:00:00.000Z,2026-06-22T15:00:00.000Z,1.95,1.95,10.4688,13.8613,13.8801,3.4113,2.979354,1.029354,52.787,0.195,entered,true,false,,-2.135,-213.5,-109.487,false,,-2.135,2026-06-26T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-06-22,calibration,2026-06-26,4,call,750,SPY   260626C00750000,2026-06-22T14:00:00.000Z,2026-06-22T15:00:00.000Z,2.71,2.61,10.4301,13.8613,14.0935,3.6634,3.881364,1.171364,43.224,0.261,entered,true,false,,-2.861,-286.1,-109.617,false,,-2.861,2026-06-26T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-06-22,calibration,2026-06-26,4,call,748,SPY   260626C00748000,2026-06-22T14:00:00.000Z,2026-06-22T15:00:00.000Z,3.64,3.65,10.3473,13.8613,13.9217,3.5745,4.803953,1.163953,31.977,0.365,entered,true,false,,-4.005,-400.5,-109.726,false,,-4.005,2026-06-26T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-06-22,calibration,2026-06-26,4,call,746,SPY   260626C00746000,2026-06-22T14:00:00.000Z,2026-06-22T15:00:00.000Z,4.71,4.72,10.0998,13.8613,13.319,3.2192,5.72022,1.01022,21.448,0.472,entered,true,false,,-5.182,-518.2,-109.788,false,,-5.182,2026-06-26T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-01,calibration,2026-07-02,1,put,734,SPY   260702P00734000,2026-07-01T14:00:00.000Z,2026-07-01T15:00:00.000Z,0.23,0.23,19.5483,14.9554,21.5105,1.9622,0.349012,0.119012,51.744,0.05,entered,true,false,,-0.27,-27,-117.391,false,,-0.27,2026-07-02T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-01,calibration,2026-07-02,1,put,736,SPY   260702P00736000,2026-07-01T14:00:00.000Z,2026-07-01T15:00:00.000Z,0.31,0.32,18.4346,14.9554,20.5514,2.1168,0.467294,0.157294,50.74,0.05,entered,true,false,,-0.36,-36,-112.5,false,,-0.36,2026-07-02T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-01,calibration,2026-07-02,1,put,738,SPY   260702P00738000,2026-07-01T14:00:00.000Z,2026-07-01T15:00:00.000Z,0.44,0.45,17.4937,14.9554,19.535,2.0413,0.623535,0.183535,41.712,0.05,entered,true,false,,-0.48,-48,-106.667,true,2026-07-02T17:00:00.000Z,0.123535,2026-07-02T19:00:00.000Z,0.02,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-01,calibration,2026-07-02,1,put,740,SPY   260702P00740000,2026-07-01T14:00:00.000Z,2026-07-01T15:00:00.000Z,0.63,0.63,16.5469,14.9554,18.4988,1.9518,0.854121,0.224121,35.575,0.063,entered,true,true,2026-07-02T17:00:00.000Z,0.161121,16.11,25.575,true,2026-07-02T17:00:00.000Z,0.161121,2026-07-02T19:00:00.000Z,0.02,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-01,calibration,2026-07-02,1,put,742,SPY   260702P00742000,2026-07-01T14:00:00.000Z,2026-07-01T15:00:00.000Z,0.9,0.91,15.5321,14.9554,17.4607,1.9286,1.169217,0.269217,29.913,0.091,entered,true,true,2026-07-02T16:00:00.000Z,0.168217,16.82,18.485,true,2026-07-02T16:00:00.000Z,0.168217,2026-07-02T19:00:00.000Z,0.05,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-01,calibration,2026-07-02,1,put,744,SPY   260702P00744000,2026-07-01T14:00:00.000Z,2026-07-01T15:00:00.000Z,1.29,1.29,14.4796,14.9554,16.3913,1.9117,1.598895,0.308895,23.945,0.129,entered,true,true,2026-07-02T16:00:00.000Z,0.179895,17.99,13.945,true,2026-07-02T15:00:00.000Z,0.179895,2026-07-02T19:00:00.000Z,0.52,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,740,SPY   260710P00740000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,1.02,1.02,13.1539,15.1003,18.5658,5.4119,2.317538,1.297538,127.21,0.102,entered,true,true,2026-07-08T14:00:00.000Z,1.195538,119.55,117.21,true,2026-07-08T14:00:00.000Z,1.195538,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,742,SPY   260710P00742000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,1.27,1.26,12.4824,15.1003,17.7075,5.225,2.64767,1.37767,108.478,0.126,entered,true,true,2026-07-08T14:00:00.000Z,1.26167,126.17,100.133,true,2026-07-08T14:00:00.000Z,1.26167,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,744,SPY   260710P00744000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,1.59,1.58,11.7934,15.1003,17.0679,5.2745,3.099562,1.509562,94.941,0.158,entered,true,true,2026-07-08T14:00:00.000Z,1.361562,136.16,86.175,true,2026-07-08T14:00:00.000Z,1.361562,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,746,SPY   260710P00746000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,2.02,2.02,11.1468,15.1003,16.3727,5.2259,3.634624,1.614624,79.932,0.202,entered,true,true,2026-07-08T14:00:00.000Z,1.412624,141.26,69.932,true,2026-07-07T14:00:00.000Z,1.412624,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,call,758,SPY   260710C00758000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,0.73,0.73,10.3349,15.1003,12.5729,2.238,1.216691,0.486691,66.67,0.073,entered,true,false,,-0.793,-79.3,-108.63,false,,-0.793,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,748,SPY   260710P00748000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,2.56,2.54,10.4385,15.1003,15.6432,5.2047,4.218016,1.658016,64.766,0.254,entered,true,true,2026-07-08T14:00:00.000Z,1.424016,142.4,56.064,true,2026-07-07T14:00:00.000Z,1.424016,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,call,760,SPY   260710C00760000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,0.41,0.41,10.0146,15.1003,11.3569,1.3423,0.631919,0.221919,54.127,0.05,entered,true,false,,-0.45,-45,-109.756,true,2026-07-06T19:00:00.000Z,0.171919,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,750,SPY   260710P00750000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,3.26,3.36,9.719,15.1003,14.866,5.147,4.954412,1.694412,51.976,0.336,entered,true,true,2026-07-07T14:00:00.000Z,1.258412,125.84,37.453,true,2026-07-07T14:00:00.000Z,1.258412,2026-07-10T19:00:00.000Z,0.01,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,call,756,SPY   260710C00756000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,1.22,1.23,10.7468,15.1003,13.0206,2.2737,1.818339,0.598339,49.044,0.123,entered,true,false,,-1.333,-133.3,-108.374,false,,-1.333,2026-07-10T19:00:00.000Z,0.02,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,752,SPY   260710P00752000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,4.14,4.11,8.9178,15.1003,14.065,5.1472,5.799125,1.659125,40.075,0.411,entered,true,true,2026-07-07T14:00:00.000Z,1.278125,127.81,31.098,true,2026-07-07T14:00:00.000Z,1.278125,2026-07-10T19:00:00.000Z,0.02,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,call,754,SPY   260710C00754000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,1.92,1.94,11.2802,15.1003,13.5512,2.2711,2.601012,0.681012,35.469,0.194,entered,true,false,,-1.184,-118.4,-61.031,true,2026-07-06T19:00:00.000Z,0.467012,2026-07-10T19:00:00.000Z,0.95,"American CRR (75 steps), hv20 variance forecast"
SPY,2026-07-06,holdout,2026-07-10,4,put,754,SPY   260710P00754000,2026-07-06T14:00:00.000Z,2026-07-06T15:00:00.000Z,5.25,5.45,8.0327,15.1003,13.2337,5.2009,6.783045,1.533045,29.201,0.545,entered,true,true,2026-07-07T14:00:00.000Z,0.788045,78.8,14.46,true,2026-07-07T14:00:00.000Z,0.788045,2026-07-10T19:00:00.000Z,0.02,"American CRR (75 steps), hv20 variance forecast"
