date,phase,dte,expiration,contractsObserved,largeGapCandidates,actionableCandidates,noLargeGap,gapClosedBeforeEntry,closeHitRate,optimisticHitRate,meanNetPnl,totalNetContractDollars
2026-05-11,calibration,4,2026-05-15,22,0,0,true,0,,,,0
2026-05-12,calibration,3,2026-05-15,22,0,0,true,0,,,,0
2026-05-13,calibration,2,2026-05-15,22,0,0,true,0,,,,0
2026-05-14,calibration,1,2026-05-15,22,6,6,false,0,0.666667,1,0.064656,38.79
2026-05-15,calibration,0,2026-05-15,21,0,0,true,0,,,,0
2026-05-18,calibration,4,2026-05-22,22,0,0,true,0,,,,0
2026-05-19,calibration,3,2026-05-22,22,0,0,true,0,,,,0
2026-05-20,calibration,2,2026-05-22,11,0,0,true,0,,,,0
2026-05-21,calibration,1,2026-05-22,21,0,0,true,0,,,,0
2026-05-22,calibration,0,2026-05-22,22,0,0,true,0,,,,0
2026-05-26,calibration,3,2026-05-29,22,0,0,true,0,,,,0
2026-05-27,calibration,2,2026-05-29,22,0,0,true,0,,,,0
2026-05-28,calibration,1,2026-05-29,20,0,0,true,0,,,,0
2026-05-29,calibration,0,2026-05-29,20,0,0,true,0,,,,0
2026-06-01,calibration,4,2026-06-05,22,0,0,true,0,,,,0
2026-06-02,calibration,3,2026-06-05,22,0,0,true,0,,,,0
2026-06-03,calibration,2,2026-06-05,22,0,0,true,0,,,,0
2026-06-04,calibration,1,2026-06-05,20,0,0,true,0,,,,0
2026-06-05,calibration,0,2026-06-05,21,0,0,true,0,,,,0
2026-06-08,calibration,4,2026-06-12,22,0,0,true,0,,,,0
2026-06-09,calibration,3,2026-06-12,21,0,0,true,0,,,,0
2026-06-10,calibration,2,2026-06-12,21,1,1,false,0,1,1,0.661718,66.17
2026-06-11,calibration,1,2026-06-12,21,0,0,true,0,,,,0
2026-06-12,calibration,0,2026-06-12,22,0,0,true,0,,,,0
2026-06-15,calibration,3,2026-06-18,22,0,0,true,0,,,,0
2026-06-16,calibration,2,2026-06-18,22,1,1,false,0,0,0,-0.52,-52
2026-06-17,calibration,1,2026-06-18,22,0,0,true,0,,,,0
2026-06-18,calibration,0,2026-06-18,11,0,0,true,0,,,,0
2026-06-22,calibration,4,2026-06-26,19,5,5,false,0,0,0,-3.1294,-1564.7
2026-06-23,calibration,3,2026-06-26,22,0,0,true,0,,,,0
2026-06-24,calibration,2,2026-06-26,11,0,0,true,0,,,,0
2026-06-25,calibration,1,2026-06-26,11,0,0,true,0,,,,0
2026-06-26,calibration,0,2026-06-26,19,0,0,true,0,,,,0
2026-06-29,calibration,3,2026-07-02,20,0,0,true,0,,,,0
2026-06-30,calibration,2,2026-07-02,22,0,0,true,0,,,,0
2026-07-01,calibration,1,2026-07-02,22,6,6,false,0,0.5,0.666667,-0.100128,-60.08
2026-07-02,calibration,0,2026-07-02,21,0,0,true,0,,,,0
2026-07-06,holdout,4,2026-07-10,20,14,14,false,0,0.642857,0.857143,0.487597,682.63
2026-07-07,holdout,3,2026-07-10,22,6,6,false,0,0.666667,0.666667,0.13902,83.42
2026-07-08,holdout,2,2026-07-10,18,0,0,true,0,,,,0
2026-07-09,holdout,1,2026-07-10,22,2,0,false,2,,,,0
2026-07-10,holdout,0,2026-07-10,19,0,0,true,0,,,,0
2026-07-13,holdout,4,2026-07-17,22,1,1,false,0,1,1,0.191082,19.11
2026-07-14,holdout,3,2026-07-17,22,0,0,true,0,,,,0
2026-07-15,holdout,2,2026-07-17,22,0,0,true,0,,,,0
2026-07-16,holdout,1,2026-07-17,21,3,2,false,1,1,1,0.037176,7.43
2026-07-17,holdout,0,2026-07-17,19,0,0,true,0,,,,0
2026-07-20,holdout,4,2026-07-24,22,0,0,true,0,,,,0
2026-07-21,holdout,3,2026-07-24,22,0,0,true,0,,,,0
2026-07-22,holdout,2,2026-07-24,22,0,0,true,0,,,,0
2026-07-23,holdout,1,2026-07-24,20,0,0,true,0,,,,0
2026-07-24,holdout,0,2026-07-24,19,0,0,true,0,,,,0
2026-07-27,holdout,4,2026-07-31,21,0,0,true,0,,,,0
2026-07-28,holdout,3,2026-07-31,22,0,0,true,0,,,,0
2026-07-29,holdout,2,2026-07-31,22,0,0,true,0,,,,0
2026-07-30,holdout,1,2026-07-31,22,0,0,true,0,,,,0
2026-07-31,holdout,0,2026-07-31,16,1,1,false,0,0,1,-1.685,-168.5
