ticker,date,expiration,dte,option_type,strike,market_iv,market_mid,bid,ask,volume,open_interest,spot,rate,dividend,updated_at,source
QQQ,2026-08-05,2026-08-10,5,call,716,0.189766,8.94,8.9,8.98,136,301,720.33,3.78,0.44,2026-08-05T19:37:27.60625441Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,717,0.188723,8.31,8.27,8.35,47,243,720.33,3.78,0.44,2026-08-05T19:37:27.652980871Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,718,0.18768,7.695,7.66,7.73,131,487,720.33,3.78,0.44,2026-08-05T19:37:27.684040161Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,719,0.186339,7.11,7.08,7.14,62,336,720.33,3.78,0.44,2026-08-05T19:37:27.290255681Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,720,0.185296,6.55,6.52,6.58,1085,1204,720.33,3.78,0.44,2026-08-05T19:37:27.710377835Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,721,0.184402,6.02,5.99,6.05,6249,385,720.33,3.78,0.44,2026-08-05T19:37:27.683583816Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,722,0.183508,5.515,5.49,5.54,880,816,720.33,3.78,0.44,2026-08-05T19:37:27.78623887Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,723,0.182614,5.035,5.01,5.06,725,658,720.33,3.78,0.44,2026-08-05T19:37:27.767599376Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,call,724,0.181422,4.58,4.55,4.61,288,525,720.33,3.78,0.44,2026-08-05T19:37:27.826801163Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,716,0.19215,4.42,4.4,4.44,230,311,720.33,3.78,0.44,2026-08-05T19:37:27.065726482Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,717,0.191107,4.785,4.76,4.81,657,96,720.33,3.78,0.44,2026-08-05T19:37:27.517552267Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,718,0.189915,5.175,5.15,5.2,410,561,720.33,3.78,0.44,2026-08-05T19:37:27.79685192Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,719,0.188574,5.59,5.56,5.62,448,505,720.33,3.78,0.44,2026-08-05T19:37:27.333183137Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,720,0.187829,6.035,6.01,6.06,7575,1428,720.33,3.78,0.44,2026-08-05T19:37:27.811256206Z,robinhood_realtime_quote
